t,a,b
0,1.1129658916602636,0.3896917053200022
1,-0.24506065119070236,0.10255318372626686
2,-1.0308137202711538,-0.1474424899181674
3,-0.056954541213528984,1.5882761071492624
4,1.0491736214413494,-0.6222074452947179
5,-0.9759588161149049,2.0602981705240784
6,-0.9105748839214486,-0.2254314492280993
7,0.5585489592742234,-1.2770164449702281
8,-0.22153611573080054,0.0699195809948253
9,0.6474846907094743,-1.0762452003187681
10,-0.013646791795296761,-0.7517558478135002
11,0.701663648089567,0.39703330001549114
12,-1.0350781140406409,0.5555820886501248
13,-0.01208465078826744,-0.6221677002542582
14,-0.21069001436315682,0.9874051450464006
15,-1.2158909241041307,1.157507758021134
16,-1.5634779478686884,1.436301756563291
17,0.6857490352746618,0.5294134071257222
18,-0.3509523822179781,1.3634287120856987
19,-1.0222802816473295,-1.8807984279740577
20,-0.09617893692333225,-0.31790654862846257
21,1.1280188573493026,-0.8670052563234263
22,-2.280737845371923,0.11922586112739209
23,-1.4966386899033264,-0.5714492191967373
24,-0.9228864418952676,-0.16615784194973238
25,1.461178866720329,1.8821748802040494
26,0.2825869829192965,-0.1697197964203783
27,0.7673172404612268,0.4137923171902139
28,-1.1401609191262305,-0.2322693299242352
29,-1.1195358752705262,0.07571328795683367
30,0.4478137167227104,0.006016680436071459
31,0.05827433093544655,0.4483240659731595
32,0.5487388188641266,1.165307535547177
33,-0.18767099092845213,1.6473939976033294
34,0.278143726454627,0.30962008190916684
35,0.15811908490510918,0.5895468860356021
36,0.7777673890849254,-1.150864509185567
37,0.8070082819444706,-0.08787674241562057
38,-1.6198719943917699,0.940289464883589
39,-2.2472685553408556,0.8659686384171532
40,1.0017453976515072,0.21160973279505021
41,1.1877250932619365,0.8863939595679524
42,-1.0206230195133374,0.49076670899381886
43,-1.8598354065456286,1.2003062582593216
44,0.09903482100720092,0.2893591569571111
45,0.9308382263505294,-0.35569831557103465
46,1.7975945224343146,0.33584125693302364
47,0.516297572101451,-2.9305943758527757
48,-0.37171669658569495,0.38288573638504947
49,-0.8931306215848627,-3.6484128252147836
50,0.011451291670654416,-1.723463407405418
51,-0.2992647038852564,0.45176860094098414
52,-1.0150679057288161,0.47752933726679525
53,2.0487556508632867,-1.1624287801399305
54,1.785168402072131,-0.7121020418789388
55,1.1360486835554284,1.370540988614132
56,-0.9208503978091276,-0.48403013157267616
57,0.8550193242972788,2.242920312402985
58,0.6396264094979018,-0.001919853176346149
59,0.44254562420405297,0.4080361768812668
60,1.2496652670437771,1.6168743984986076
61,0.6353711428612774,0.13102711619341956
62,0.7400142363043355,-1.0023439806908012
63,0.6369062833722101,-0.10972745169429012
64,0.3407914080021059,-0.03561073619009093
65,-1.7836111297141835,-1.3647416522015654
66,0.08362107741055723,-0.25583207134082336
67,-0.5561919588491252,-0.7421920939974367
68,-1.2798409576400205,0.9243577571874341
69,1.681816619300824,0.03461187418525562
70,1.7289953408857035,-0.28279574914757005
71,1.359220600295612,-0.10618193062257626
72,0.2552134168558746,0.22312201840616613
73,1.3506251209526567,0.6168141996897798
74,0.012053180601825543,-0.9997122286693814
75,0.20279727689777938,-1.0415876326212719
76,-1.093471370461983,1.10467921540253
77,0.39699130449884,-0.4123368722047306
78,0.0603859284244171,-1.416842092596874
79,-1.3026521168344645,0.44381270938310463
80,-0.051197111816596905,0.4633698060326869
81,-0.07972956385680847,-1.5307152572567064
82,1.79756116664464,0.2294817154636063
83,0.8942133285134095,0.7355830924283736
84,0.011445439091466015,0.37438645170626306
85,0.248787309801083,0.6319814837613953
86,0.044212378104198057,-1.404269098090749
87,-0.20291398479554773,0.3310401549961956
88,-1.0824271973882869,-0.30261975947044656
89,-0.15105187760692926,-0.4827901587246448
90,-0.7460982566525134,0.8705556094197265
91,-1.2503155389231464,1.47927451067423
92,0.5112218145475347,1.794370054600359
93,0.39126465993323495,1.314807871505905
94,-1.786707511368078,-0.10973418163018368
95,-0.12268463749512722,0.35272016302634307
96,0.9957013858999235,0.7668228717842437
97,1.0592237388963208,0.12117794929946196
98,1.0258368428852387,0.13076418791154437
99,0.0389132069014598,0.823753131876182
100,-0.8450453279691511,-0.059282646025932216
101,-1.0836988273580606,-0.7292869363736615
102,0.3446049047503575,-0.4144730658358585
103,0.379280034365163,0.6339103777337424
104,1.2873311116050654,0.002993291199955732
105,1.0999796503420836,0.34020997686833787
106,-0.1322286565311721,0.6700792422021898
107,-1.2442058788608694,-0.3748414628976096
108,-0.31910659701089783,0.7562481636298061
109,0.21723119481052466,0.37884260345839443
110,-0.2020832453894041,-1.2348130869114786
111,-0.5778941080776558,1.4423047911862443
112,0.2528848149698989,-0.5007447437569161
113,-0.5039577414106104,-1.6550953431851838
114,-0.628066083725374,-1.0450437095863023
115,0.31145283430343956,-1.021045160678322
116,-0.4019925801292048,0.05217331865753347
117,0.24410438897835213,-0.2738505055462372
118,0.2732040228521227,-0.33683196764059287
119,-1.1394290010915746,0.6197019654824789
120,-0.4812411238654122,0.3398753611927038
121,1.4377769399164624,0.31604787064428624
122,-1.1620795127342871,0.40982845732869266
123,-2.116654448970531,0.6161346680022383
124,-1.8618451532425115,-2.107953341777443
125,0.029109946576669203,-0.3644382522644612
126,0.03091727803269891,-2.180210064489474
127,-0.11761085542512094,0.03605992679779541
128,1.2141898289285016,-0.00463297222434532
129,-2.672834433102938,1.0455322747896802
130,0.3959338744308236,1.1876343927211208
131,1.5614382018035733,0.20277504825236733
132,-1.127780764891714,-0.5003610773968998
133,-0.3798065117898951,0.48516111254573785
134,-0.7528919172286209,-0.5279176373243135
135,-0.8943460460775288,-0.001392651443348899
136,-0.32626200502304,0.9861363169607678
137,1.4274852836845047,-0.5577713459894236
138,1.8373866754875203,0.8056786392425009
139,-0.3359392250401477,0.6774013686923024
140,1.9050602140644701,-0.9547918171308215
141,0.035576476984624864,0.973894128217401
142,1.753691026701081,0.6985663453715051
143,-0.09329864965349177,0.10192588737265744
144,0.1310578260461443,-0.7623234580276522
145,0.36547447264283456,-0.85920601857557
146,3.1788536793675353,-0.5376625769030224
147,0.8512855748447891,0.54259446329196
148,-0.7072645299514636,-0.9556251674013979
149,0.9689978702758579,0.4375122486198699
150,-0.3618325370843415,-1.2417555288783926
151,-0.48975018290120914,-0.20406858443884895
152,0.9086013598921112,0.10964775457400863
153,0.031085587771152785,2.4451301450589167
154,0.2785759145118061,-1.3773156555203674
155,0.013985221865292462,1.4720145664901334
156,0.3365831266054347,0.14984241398728004
157,0.4249658974361492,0.41117191801596314
158,-1.9369669327054153,0.11834791338820451
159,0.6665726686095336,0.444726818195233
160,-0.9820194198303006,-0.15368510436201774
161,-1.4422991355594112,1.4540501814574582
162,-0.05841124385868244,-0.4564711442247224
163,0.08398100331445427,1.1322345721792477
164,-0.6935061645722808,-0.6443671202130229
165,0.8310318576679744,-0.06025184640128695
166,-1.342175166370907,-1.0719625522902192
167,-0.40694374877255896,0.4550237203475199
168,-0.5848741349330007,1.4451259569265338
169,-0.04658727033933937,-0.07735617982085408
170,0.2788642846472388,-0.19688569870390954
171,-1.0078929496235447,-1.1146169630679268
172,0.7242826774562282,-0.2292926535523081
173,0.06300236833469973,-1.5927942597215277
174,-1.8919462533119105,-0.9128779867188273
175,-1.958591440397031,0.22678604610913541
176,-0.012319292929311235,1.3190131977413961
177,-0.2209673177863541,2.809210861229503
178,-0.1034201135746335,-0.5865850850709007
179,-0.02798245653021798,1.43530015664544
180,0.22555983951018072,0.2437524804016479
181,0.9476496098482997,-0.15124764674637586
182,-1.1111049009175582,0.4325944517261522
183,-1.1719715929007948,0.06191648367995918
184,-1.0933238578873825,0.11039572561221853
185,0.2889166671687069,-0.4083331628266692
186,1.2449473786464456,-1.3981096597988507
187,-0.4313394382395105,-1.5436252025220816
188,-2.5016998441596545,0.653244883281227
189,-1.7039928626103755,-0.2767000900857134
190,-0.8330367227960116,-0.5960888996561666
191,-0.5577288874952148,0.008505626723153567
192,-0.4083886272547264,0.7949322529156275
193,0.038581122980917065,0.1803639430263982
194,-0.3117463308224471,-0.6560549366409674
195,1.0493396105434072,1.2262929556489497
196,-0.6760173056813688,1.579185502981632
197,-0.862317959475543,0.4945566553228533
198,0.4788755385204616,0.9736635113440901
199,-1.5356420699261193,1.241959996813811
